tempo,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24
931.340054,4085,4075,4093,4087,4083,2861,2372,3946,4085,4094,3204,2936,4036,4095,4095,3677,3718,4074,4095,4095,4074,4095,4095,4095,4095
931.424054,3662,3537,3944,4093,3982,2589,2357,2285,4089,3306,3043,2631,2684,4094,3106,3571,3836,3990,4094,3916,4068,4088,4094,4095,4093
931.509254,3831,3567,3961,4065,4049,2855,2571,2254,3766,3421,2951,2514,2753,1664,2490,2997,3624,3506,3090,2487,4068,4086,4093,4095,4095
932.042053,3208,3089,3757,4091,4095,2813,2373,1904,4095,4095,3332,2860,3651,4095,4095,4077,4086,4087,4091,4085,4095,4095,4095,4089,4087
932.084053,3957,3940,4073,4082,4093,2659,1857,3900,4089,4095,3905,3871,4087,4095,4095,4095,4095,4095,4095,4091,4095,4095,4095,4095,4087
932.618054,4085,4079,4082,4084,4089,4079,4089,4093,4095,4095,3929,3619,3784,3421,3533,3172,937,724,861,784,4084,4079,4082,4086,4095
932.684054,4095,4095,4095,4090,4083,4095,4093,4090,4087,4088,3545,2849,2742,2579,2734,1429,1436,1572,1655,1523,4093,4095,4095,4095,4088
932.894908,3790,3735,3805,3928,3769,2620,2312,2545,2807,2786,3123,2440,2493,2034,2745,3996,3936,3605,3573,3018,4074,4077,4086,4090,4094
932.942054,4041,4004,3897,3962,3861,3275,2388,2789,3124,3035,3282,2414,2548,2434,2895,3855,3730,3203,2790,2545,4092,4095,4095,4095,4093
933.170053,4095,4095,4095,4095,4092,4095,4095,4094,4087,4085,3289,2940,3177,3725,3538,1068,1312,1131,991,780,4095,4095,4095,4095,4091
933.218054,4095,4092,4094,4085,4088,4052,4082,4089,4093,4094,2677,2158,2729,3622,3217,1629,2059,1554,2587,1086,4095,4095,4092,4089,4086
933.266054,4067,4086,4095,4095,4093,3526,3364,3782,4009,3974,2542,1985,2389,3148,2659,2270,2892,2170,2594,1759,4051,4082,4086,4093,4095
933.886054,3714,3656,3797,3874,3738,2818,2500,2820,2690,2975,2737,2403,2778,2103,2790,3867,3807,2962,3683,2819,4058,4082,4089,4090,4095
933.959254,4095,4095,4090,4077,4070,4095,3656,3704,3329,3461,4053,2537,2505,2455,2668,4063,2135,2135,2464,2158,4095,4095,4095,4094,4083
934.073254,4095,4095,4095,4095,4089,4095,4095,4095,4086,4081,3867,3403,3531,3018,3270,2983,904,762,1196,969,4095,4095,4095,4095,4090
934.255054,4013,3930,3961,4046,4056,3353,2862,2906,3095,3017,2726,2257,2688,2556,2317,2306,3248,2807,3238,3045,4095,4090,4088,4086,4089
